Artist,Count
Idk,20
BTS,9
Imagine Dragons,7
Chance the Rapper,5
Ed Sheeran,5
EXO,4
Kanye West,4
Khalid,4
The Weeknd,4
Twenty One Pilots,4
Childish Gambino,3
Frank Ocean,3
J. Cole,3
Kendrick Lamar,3
My Chemical Romance,3
Post Malone,3
The 1975,3
The Beatles,3
Arctic Monkeys,2
Beyoncé,2
Blackbear,2
Bruno Mars,2
Coldplay,2
Dean,2
IU,2
July Talk,2
Lorde,2
Mac DeMarco,2
NF,2
OneRepublic,2
Queen,2
Sufjan Stevens,2
Taylor Swift,2
Two Door Cinema Club,2
Alessia Cara,1
Alvaro Soler,1
Andrew Lloyd Webber,1
Anoushka Shankar,1
Architects,1
Ariana Grande,1
Aventura,1
B1A4,1
Barbra Striesand,1
Beethoven,1
Ben Rector,1
Bigbang,1
Björk,1
Bleachers,1
BNNY RBBT ,1
Bon Iver,1
Boohwal,1
Braden Barrie,1
Broadway,1
Bryce Vine,1
Cage the Elephant,1
Caravan Palace,1
Carl Maria von Weber,1
Chet Faker,1
Chopin,1
Clean Bandit,1
Daft Punk,1
Danny Brown,1
Day6,1
Depeche Mode,1
DooPiano,1
EDEN,1
Enrique Iglesias ,1
Eric Whitacre,1
Excision ,1
Fall Out Boy,1
Fanfare Ciocarlia,1
Five Seconds of Summer,1
Frank Sinatra,1
Franz Liszt,1
Frédéric Chopin,1
George Ezra,1
Get Scared,1
GFriend,1
Glass Animals,1
Got7,1
Green Day,1
Green Day ,1
Gucci Mane,1
H.E.R.,1
Hank Williams,1
Hans Zimmer,1
Hayley Kiyoko,1
Higher Brothers,1
Hollywood Undead,1
Ikon,1
India Arie,1
Jake Kaufman,1
Jakubi,1
Jamsine Thompson,1
Jay Park,1
Joey Bada$$,1
John Legend,1
Joji,1
Josh Groban,1
Juanes,1
JubyPhonic,1
Justin Bieber,1
Justin Bieber ,1
Justin Timberlake,1
K. Flay ,1
Kenrick Lamar,1
Kevin MacLeod,1
Kirk Franklin,1
Lady Gaga,1
LANY,1
Laura Pausini,1
Lauv,1
Led Zeppelin,1
Lil Pump,1
Lil Uzi Vert,1
Lords,1
Louis the Child,1
Lynyrd Skynyrd,1
Major Lazer,1
Mamamoo,1
Marc E. Bassy,1
Marina and the Diamonds,1
Martin Garrix,1
Maurice Ravel,1
Men Without Hats,1
Michelle Jackson,1
MILI,1
Milky Chance,1
Millic,1
Monchy & Alexandra,1
NCT,1
Nickleback,1
Nightcore,1
Nirvana,1
Noname,1
Nujabes,1
Oddisee,1
ODESZA,1
Oh Wonder,1
Penn Masala,1
Pierce the Veil,1
Pink Floyd ,1
Pink Guy ,1
Post Malone ,1
Prince Royce,1
Quinn SCII,1
R3hab,1
Radiohead,1
Red Velvet,1
Rihanna,1
Riles,1
Sabrina Carpenter,1
Saint Motel,1
Sam Smith,1
Seventeen,1
Shakira,1
Shin Seung-Hun,1
SHINee,1
Shinigami,1
Sleeping with Sirens,1
Slow Magic,1
Stromae,1
Susumu Hirasawa,1
Taeyang,1
Taeyeon,1
The Internet,1
The Kite String Tangle,1
The Original Broadway Cast of Rent ,1
Toby Kieth,1
Troye Sivan,1
Tupac,1
Tyler the Creator,1
U2,1
Vitamin String Quartet,1
Vixx,1
Weezer,1
Wingnut Dishwashers Union ,1
Winner,1
XXXTentacion,1
Yiruma,1
Young Rising Sons,1
Young the Giant,1
Любэ,1
